date,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
01-01,11745,12333,61083,38806,59974,29417,59688,89157,103688,50416
01-11,3276,22952,24543,5565,15307,47947,11837,23843,40222,31213
01-21,841,8201,36426,20782,34027,26506,1480,34665,65289,169588
02-01,3712,20715,17154,24791,28980,24661,164346,40601,33650,294702
02-11,4968,4358,16384,24307,48257,59301,63420,4896,354310,219173
02-21,3763,1775,38477,6254,11339,46024,46665,84301,215589,86762
03-01,4862,1393,7419,2066,6247,38186,36710,167654,81455,79710
03-11,2288,1362,5844,8523,14029,4390,15863,28080,138125,126784
03-21,10966,3919,20130,8274,10184,26064,23917,15736,57017,81242
04-01,3869,1096,10219,6536,7104,14939,28157,21324,45227,72840
04-11,4438,324,17837,392,44689,7632,37754,185165,35285,140009
04-21,6228,5126,10035,7107,57958,58893,16598,48653,32574,134855
05-01,8358,12359,32403,21481,28679,90958,32502,40957,158371,76125
05-11,6043,2907,9311,7496,39250,69810,55439,97780,49327,57650
05-21,877,7703,12032,50734,21780,30891,32708,68502,25496,112896
06-01,3176,3752,6942,34195,36449,52086,59788,58050,41659,99771
06-11,2648,6890,5494,42550,16870,33738,42956,84833,172524,114490
06-21,12187,21191,604,16441,14761,63468,113627,125584,42865,99067
07-01,7297,13608,3932,26208,59341,22267,100776,20579,65730,111031
07-11,23613,26480,7535,6819,19090,7619,123036,164353,29350,77537
07-21,6626,14300,18650,78081,32065,20730,71886,134942,83613,162923
08-01,8616,26692,36238,35964,16977,44505,42498,108564,59886,290781
08-11,1738,12820,5872,29752,31486,70551,3566,24876,64247,168321
08-21,5753,14162,21090,43827,8978,26371,29586,76657,45917,0
09-01,6374,2527,13995,9330,81498,14914,47327,20226,5202,0
09-11,3653,13969,24542,3805,22019,873,25090,82067,1773,0
09-21,6689,11763,20320,120,15365,9718,14353,75803,52,0
10-01,13593,14521,38173,24336,1774,35212,65295,138663,133197,0
10-11,12727,16530,5981,5094,0,14124,87070,171154,37983,0
10-21,3214,2747,5286,8257,3282,1038,18159,40684,24024,0
11-01,8396,2254,637,8198,6244,13436,6572,23874,33124,0
11-11,4753,24254,249,29807,29204,15545,26952,31550,41672,0
11-21,3015,19136,26409,4625,16345,26208,40682,53736,32844,0
12-01,3833,6587,11076,8668,64657,20646,29071,17843,51495,0
12-11,4330,26366,43811,35071,47647,19024,24387,70572,82037,0
12-21,26333,15326,45500,37937,118901,96608,109755,112775,38568,17856
