date,生化危机4：战神再生,蚁人,冰川时代3,哈利·波特与死亡圣器(下),盗梦空间,魔兽,加勒比海盗5：死无对证,复仇者联盟2：奥创纪元,蝙蝠侠大战超人：正义黎明,侏罗纪世界,飞屋环游记,极品飞车,一条狗的使命,功夫熊猫2,终结者2018,地心引力,异星战场,007：幽灵党,星际迷航：暗黑无界,超凡蜘蛛侠2,明日边缘,功夫之王,爱丽丝梦游仙境,诸神之战,生化危机：终章,雷神2：黑暗世界,美国队长3：英雄内战,狼图腾,变形金刚5：最后的骑士,敢死队2,无敌浩克,长城,蓝精灵,敢死队,钢铁侠3,霍比特人1：意外旅程,X战警：天启,木乃伊3：龙帝之墓,超凡蜘蛛侠,奇异博士,功夫熊猫,摔跤吧！爸爸,哈利·波特与混血王子,饥饿游戏,蝙蝠侠：黑暗骑士崛起,神奇动物在哪里,全民超人汉考克,末日崩塌,哈利·波特与死亡圣器(上),星球大战外传：侠盗一号,特种部队2：全面反击,007：大破天幕杀机,终结者：创世纪,少年派的奇幻漂流,银河护卫队2,美国队长2：冬日战士,银河护卫队,博物馆奇妙夜2,极限特工：终极回归,钢铁侠,速度与激情8,洛杉矶之战,冰川时代4：大陆漂移,环太平洋,纳尼亚传奇2：凯斯宾王子,敢死队3,碟中谍4,哆啦A梦：伴我同行,加勒比海盗4：惊涛怪浪,波斯王子：时之刃,复仇者联盟,猩球崛起,美女与野兽,钢铁侠2,地心历险记2：神秘岛,泰坦尼克号3D,金刚狼,霍比特人2：史矛革之战,通缉令,阿凡达,普罗米修斯,侏罗纪公园,国家宝藏：夺宝秘笈,速度与激情7,新木乃伊,非常完美,2012世界末日,碟中谍5：神秘国度,谍影重重4,速度与激情5,星球大战：原力觉醒,金刚：骷髅岛,功夫熊猫3,变形金刚4：绝迹重生,变形金刚3,X战警：逆转未来,哥斯拉,霍比特人3：五军之战,史前一万年,金刚狼3：殊死一战,黑衣人3,神偷奶爸3,火星救援,超级战舰,星际穿越,神奇女侠,变形金刚2,007：大破量子危机,奇幻森林,马达加斯加3,大侦探福尔摩斯2,地心历险记,你的名字。,疯狂动物城,惊天魔盗团2,花木兰,尼斯湖怪·深水传说,超能陆战队,猩球崛起2：黎明之战,七龙珠,疯狂原始人,速度与激情6,超人：钢铁之躯,特种部队：眼镜蛇的崛起
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,0,0
2008-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0
2008-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0
2008-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
