date,year,whole box,foreign box
01-01,2008,26509,4
01-11,2008,4570,344
01-21,2008,1212,0
02-01,2008,3920,0
02-11,2008,5006,556
02-21,2008,3778,2506
03-01,2008,4899,2393
03-11,2008,2296,633
03-21,2008,10966,10442
04-01,2008,4984,2431
04-11,2008,4438,1346
04-21,2008,6228,5891
05-01,2008,8358,8292
05-11,2008,6043,6007
05-21,2008,877,873
06-01,2008,3176,3176
06-11,2008,2648,2648
06-21,2008,12187,12187
07-01,2008,7297,7297
07-11,2008,23613,6245
07-21,2008,6626,1758
08-01,2008,8616,2007
08-11,2008,1738,201
08-21,2008,5753,4459
09-01,2008,6374,6276
09-11,2008,3653,3561
09-21,2008,6689,2582
10-01,2008,13593,1969
10-11,2008,12727,6163
10-21,2008,3214,2066
11-01,2008,8396,7516
11-11,2008,4753,4671
11-21,2008,3015,2981
12-01,2008,3833,317
12-11,2008,4330,162
12-21,2008,26333,72
01-01,2009,12333,29
01-11,2009,22952,0
01-21,2009,8201,0
02-01,2009,20715,0
02-11,2009,4358,0
02-21,2009,1775,0
03-01,2009,1393,0
03-11,2009,1362,1224
03-21,2009,3919,3852
04-01,2009,1096,1096
04-11,2009,324,324
04-21,2009,5126,0
05-01,2009,12359,3800
05-11,2009,2907,1710
05-21,2009,7703,6820
06-01,2009,3752,3656
06-11,2009,6890,6854
06-21,2009,21191,21142
07-01,2009,13608,13585
07-11,2009,26480,26475
07-21,2009,14300,9391
08-01,2009,26692,10567
08-11,2009,12820,9378
08-21,2009,14162,12616
09-01,2009,2527,2408
09-11,2009,13969,2125
09-21,2009,11763,123
10-01,2009,14521,16
10-11,2009,16530,0
10-21,2009,2747,0
11-01,2009,2254,0
11-11,2009,24254,23982
11-21,2009,19136,19094
12-01,2009,6587,6587
12-11,2009,26366,3441
12-21,2009,15326,390
01-01,2010,61083,28664
01-11,2010,24543,23746
01-21,2010,36426,36047
02-01,2010,17154,11823
02-11,2010,16384,8211
02-21,2010,38477,15831
03-01,2010,7419,3666
03-11,2010,5844,3518
03-21,2010,20130,9693
04-01,2010,10219,8343
04-11,2010,17837,12262
04-21,2010,10035,5970
05-01,2010,32403,11732
05-11,2010,9311,6114
05-21,2010,12032,9282
06-01,2010,6942,6643
06-11,2010,5494,5420
06-21,2010,604,598
07-01,2010,3932,252
07-11,2010,7535,50
07-21,2010,18650,8
08-01,2010,36238,0
08-11,2010,5872,0
08-21,2010,21090,16267
09-01,2010,13995,13460
09-11,2010,24542,20028
09-21,2010,20320,7000
10-01,2010,38173,7884
10-11,2010,5981,1294
10-21,2010,5286,1509
11-01,2010,637,109
11-11,2010,249,93
11-21,2010,26409,26391
12-01,2010,11076,5294
12-11,2010,43811,2557
12-21,2010,45500,149
01-01,2011,38806,38
01-11,2011,5565,5
01-21,2011,20782,0
02-01,2011,24791,3
02-11,2011,24307,0
02-21,2011,6254,0
03-01,2011,2066,0
03-11,2011,8523,7409
03-21,2011,8274,8250
04-01,2011,6536,6529
04-11,2011,392,392
04-21,2011,7107,18
05-01,2011,21481,0
05-11,2011,7496,6476
05-21,2011,50734,50529
06-01,2011,34195,34178
06-11,2011,42550,31785
06-21,2011,16441,5487
07-01,2011,26208,3961
07-11,2011,6819,336
07-21,2011,78081,75310
08-01,2011,35964,35033
08-11,2011,29752,28735
08-21,2011,43827,27121
09-01,2011,9330,4609
09-11,2011,3805,1799
09-21,2011,120,92
10-01,2011,24336,0
10-11,2011,5094,0
10-21,2011,8257,5909
11-01,2011,8198,8177
11-11,2011,29807,3793
11-21,2011,4625,421
12-01,2011,8668,11
12-11,2011,35071,0
12-21,2011,37937,0
01-01,2012,59974,0
01-11,2012,15307,1895
01-21,2012,34027,23673
02-01,2012,28980,27913
02-11,2012,48257,47968
02-21,2012,11339,11339
03-01,2012,6247,6247
03-11,2012,14029,14029
03-21,2012,10184,10184
04-01,2012,7104,7104
04-11,2012,44689,44689
04-21,2012,57958,57958
05-01,2012,28679,28679
05-11,2012,39250,39250
05-21,2012,21780,21780
06-01,2012,36449,36449
06-11,2012,16870,16870
06-21,2012,14761,14761
07-01,2012,59341,8970
07-11,2012,19090,1080
07-21,2012,32065,13167
08-01,2012,16977,14995
08-11,2012,31486,12992
08-21,2012,8978,4386
09-01,2012,81498,81248
09-11,2012,22019,22019
09-21,2012,15365,15362
10-01,2012,1774,1772
10-11,2012,0,0
10-21,2012,3282,3282
11-01,2012,6244,6244
11-11,2012,29204,10593
11-21,2012,16345,11457
12-01,2012,64657,33970
12-11,2012,47647,10072
12-21,2012,118901,2981
01-01,2013,29417,0
01-11,2013,47947,0
01-21,2013,26506,22081
02-01,2013,24661,14221
02-11,2013,59301,1309
02-21,2013,46024,11855
03-01,2013,38186,17187
03-11,2013,4390,1924
03-21,2013,26064,611
04-01,2013,14939,0
04-11,2013,7632,0
04-21,2013,58893,39862
05-01,2013,90958,57000
05-11,2013,69810,38643
05-21,2013,30891,7565
06-01,2013,52086,29769
06-11,2013,33738,8803
06-21,2013,63468,31829
07-01,2013,22267,6836
07-11,2013,7619,2623
07-21,2013,20730,19054
08-01,2013,44505,44386
08-11,2013,70551,42679
08-21,2013,26371,24629
09-01,2013,14914,14641
09-11,2013,873,873
09-21,2013,9718,215
10-01,2013,35212,0
10-11,2013,14124,0
10-21,2013,1038,0
11-01,2013,13436,13232
11-11,2013,15545,15545
11-21,2013,26208,26208
12-01,2013,20646,20646
12-11,2013,19024,1823
12-21,2013,96608,335
01-01,2014,59688,0
01-11,2014,11837,0
01-21,2014,1480,0
02-01,2014,164346,0
02-11,2014,63420,0
02-21,2014,46665,20334
03-01,2014,36710,23430
03-11,2014,15863,15440
03-21,2014,23917,23888
04-01,2014,28157,28157
04-11,2014,37754,37754
04-21,2014,16598,5587
05-01,2014,32502,10845
05-11,2014,55439,44230
05-21,2014,32708,31254
06-01,2014,59788,59548
06-11,2014,42956,42956
06-21,2014,113627,98253
07-01,2014,100776,75423
07-11,2014,123036,51632
07-21,2014,71886,7937
08-01,2014,42498,0
08-11,2014,3566,0
08-21,2014,29586,28977
09-01,2014,47327,47327
09-11,2014,25090,25090
09-21,2014,14353,14353
10-01,2014,65295,500
10-11,2014,87070,43631
10-21,2014,18159,11385
11-01,2014,6572,4580
11-11,2014,26952,26952
11-21,2014,40682,40682
12-01,2014,29071,6053
12-11,2014,24387,1905
12-21,2014,109755,0
01-01,2015,89157,0
01-11,2015,23843,0
01-21,2015,34665,31295
02-01,2015,40601,39319
02-11,2015,4896,4696
02-21,2015,84301,21863
03-01,2015,167654,69954
03-11,2015,28080,19131
03-21,2015,15736,12642
04-01,2015,21324,254
04-11,2015,185165,156923
04-21,2015,48653,45565
05-01,2015,40957,39364
05-11,2015,97780,97612
05-21,2015,68502,68220
06-01,2015,58050,58050
06-11,2015,84833,84833
06-21,2015,125584,79482
07-01,2015,20579,13144
07-11,2015,164353,4083
07-21,2015,134942,0
08-01,2015,108564,0
08-11,2015,24876,0
08-21,2015,76657,52928
09-01,2015,20226,16634
09-11,2015,82067,79878
09-21,2015,75803,7305
10-01,2015,138663,2124
10-11,2015,171154,27898
10-21,2015,40684,24874
11-01,2015,23874,14754
11-11,2015,31550,31132
11-21,2015,53736,53577
12-01,2015,17843,17843
12-11,2015,70572,10465
12-21,2015,112775,167
01-01,2016,103688,55497
01-11,2016,40222,28678
01-21,2016,65289,55282
02-01,2016,33650,31955
02-11,2016,354310,15599
02-21,2016,215589,13910
03-01,2016,81455,16621
03-11,2016,138125,97390
03-21,2016,57017,55392
04-01,2016,45227,44617
04-11,2016,35285,35285
04-21,2016,32574,32574
05-01,2016,158371,94520
05-11,2016,49327,40857
05-21,2016,25496,20314
06-01,2016,41659,41040
06-11,2016,172524,172063
06-21,2016,42865,42773
07-01,2016,65730,35801
07-11,2016,29350,1805
07-21,2016,83613,346
08-01,2016,59886,0
08-11,2016,64247,0
08-21,2016,45917,0
09-01,2016,5202,0
09-11,2016,1773,0
09-21,2016,52,0
10-01,2016,133197,0
10-11,2016,37983,0
10-21,2016,24024,0
11-01,2016,33124,30048
11-11,2016,41672,40364
11-21,2016,32844,32687
12-01,2016,51495,51408
12-11,2016,82037,82037
12-21,2016,38568,38568
01-01,2017,50416,30462
01-11,2017,31213,19128
01-21,2017,169588,12138
02-01,2017,294702,359
02-11,2017,219173,94885
02-21,2017,86762,78184
03-01,2017,79710,77906
03-11,2017,126784,124902
03-21,2017,81242,80570
04-01,2017,72840,72756
04-11,2017,140009,140009
04-21,2017,134855,114540
05-01,2017,76125,56517
05-11,2017,57650,57650
05-21,2017,112896,112896
06-01,2017,99771,99771
06-11,2017,114490,114490
06-21,2017,99067,99067
07-01,2017,111031,111031
07-11,2017,77537,37482
07-21,2017,162923,21931
08-01,2017,290781,2729
08-11,2017,168321,1241
08-21,2017,0,0
09-01,2017,0,0
09-11,2017,0,0
09-21,2017,0,0
10-01,2017,0,0
10-11,2017,0,0
10-21,2017,0,0
11-01,2017,0,0
11-11,2017,0,0
11-21,2017,0,0
12-01,2017,0,0
12-11,2017,0,0
12-21,2017,0,0
